Comp,Epsilon,Material ID,cm0,cm1,cm2,AvgElectron,sTot,pTot,dTot,fTot,NAtom,AvgIonicRad,DevIonicRad,VolumeAverageMass,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
LiTaO3,53.6,mp-3666,16290.27085,13420.92414,129.6211922,3.110386647,1.8,2.4,0.6,2.8,10,107.2,34.29518917,300.2722991,47.176976,66.97741046,2.966211366,2.56,2.46,1.090247678,53.544,63.85541969,158.76,0.7855699,5,7.178368478,0.008287715,0.003556176,0.011715203,0.002622197,0,-3.144566699,3.7003,Trigonal,5.533819201,5.533819201,5.533819203,56.14486292,56.14486288,56.1448629
Mg3B7ClO13,14.1,mp-23087,1713.641777,510.8404224,452.0275876,1.41343209,2,2.666666667,0,0,96,88.08333333,62.32703845,167.8238011,16.33425,5.668233611,0.620447664,2.75375,2.13,0.819211066,18.72625,21.00481866,65.65,2.3359142,24,2.856359953,0.019326352,0.006059126,0.025615232,0.006421672,0,-2.934410634,5.9272,Orthorhombic,8.6430927,8.62880872,12.22371966,90,90,90
MgCO3,8.1,mp-5348,398.054828,155.711026,88.58164925,2.908688112,2,2.8,0,0,10,90.8,57.90474937,148.6098572,16.8626,4.029013656,3.206027008,2.836,2.13,0.837247872,21.428,25.4300998,65.65,0.5673446,5,2.898972608,0.008781043,0.002868701,0.01126853,0.002824991,0,-2.464362112,4.9603,Trigonal,5.744816341,5.744816342,5.744816343,48.20610868,48.20610868,48.2061087
MgNb2O6,24,mp-17953,6542.838773,4055.002428,3591.993693,2.110999714,1.777777778,2.666666667,0.888888889,0,36,112.3333333,32.31442746,255.7747136,34.01241556,31.58432891,2.284699692,2.794444444,2.13,0.916358871,34.92555556,43.055504,100.76,1.1968022,9,4.758582333,0.010334507,0.003721593,0.013348618,0.003346464,0,-3.117534165,3.4118,Orthorhombic,5.09533384,5.82050003,14.40727821,90,90,90
MgO,9.8,mp-1265,209.5010086,58.5539317,0,3.025228777,2,2,0,0,2,96,39,92.21564422,20.152,4.153,9.648067065,2.375,2.13,1.065,38.065,32.825,65.65,0.4370625,2,3.471432635,0.003747577,0.002036249,0.006495771,0.001628473,0,-3.070604288,4.4449,Cubic,3.009788132,3.009788134,3.00978813,59.99999993,59.99999991,60.00000002
MgWO4,18,mp-18875,17095.72698,13622.54105,330.1294055,3.096136974,2,2.666666667,0.666666667,2.333333333,12,110.5,34.74550331,340.2731853,45.35683333,62.0057748,3.37155626,2.795,2.13,0.919089223,27.80833333,31.93848797,69.76,0.7997721,6,6.570295732,0.008531336,0.003054504,0.01098843,0.002754771,0,-2.572016943,3.6767,Monoclinic,4.74247142,5.044253015,5.75150792,90,90,91.18339299
MnNb2O6,17.4,mp-640524,6806.460577,4073.938126,3603.689599,2.387350241,1.777777778,2.666666667,1.444444444,0,36,113.3333333,30.68477726,325.9115808,37.41608711,32.00262435,2.411074679,2.821111111,1.89,0.875346845,34.47111111,42.69356976,100.76,1.0332397,9,5.028852234,0.010185044,0.003477039,0.01299408,0.003945362,0,-2.888919798,2.5349,Orthorhombic,5.14827721,5.89677435,14.65101602,90,90,90
MnO,22.5,mp-714882,1355.446269,934.6016893,68.66675308,4.875038086,2,2,2.5,0,4,100.5,34.5,259.3676197,35.468522,19.469522,12.39061732,2.495,1.89,0.945,36.02,30.78,61.56,0.2735,2,5.190707717,0.003585852,0.001610445,0.005731976,0.001852553,0,-2.000399532,1.6823,Cubic,3.197355603,3.197453216,5.448588156,89.99985608,72.93751744,59.99893076
MnO2,10000,mp-19395,1827.713007,996.5967449,925.8093991,4.587329968,2,2.666666667,1.666666667,0,12,112,32.52691193,288.860054,28.97868133,18.35604138,6.98274599,2.81,1.89,0.890954544,25.76,29.0196623,61.56,0.3009625,3,4.00346506,0.005923328,0.00205022,0.007635505,0.002467766,0,-1.810535359,1.0947,Tetragonal,2.928869392,7.168730035,7.168747969,87.60819396,78.21343823,78.2141245
Mn2O3,8,mp-565203,6091.363702,1483.839638,1480.02186,3.337791044,2,2.4,2,0,80,107.4,33.80295845,274.818788,31.5746176,19.07615777,4.465953176,2.684,1.89,0.925907123,29.864,30.15811771,61.56,0.5744625,5,4.721179108,0.006841191,0.002683881,0.009547591,0.003085745,0,-2.026531936,0.1177,Orthorhombic,9.59898265,9.61929216,9.62191805,90,90,90
