Material ID,Epsilon
mvc-881,14.40066667
mvc-8521,39.154
mvc-880,19.23533333
mvc-2603,20.77666667
mvc-883,31.16466667
mvc-2601,20.45533333
mvc-888,13.736
mvc-15440,291.1066667
mvc-15128,15.87466667
mvc-1655,38.97133333
mvc-8705,56.84666667
mvc-2834,21.14266667
mvc-6974,157.4968
mvc-8251,33.06866667
mvc-15380,31.19533333
mvc-2836,171.86
mvc-2838,2675.52
mvc-2839,132.5733333
mvc-8255,177.3333333
mvc-2347,23.21
mvc-8767,17.71733333
mvc-1922,121.68
mvc-2341,51.40833333
mvc-8700,43.63333333
mvc-2345,96.44666667
mvc-7688,16.98066667
mvc-12126,13.65533333
mvc-15475,11.44666667
mvc-14383,34.35457333
mvc-6888,40.86466667
mvc-1361,26.34866667
mvc-588,119.6133333
mvc-13785,8.401333333
mvc-8795,20.74933333
mvc-5701,11.28666667
mvc-10186,14.64
mvc-8281,180.4066667
mvc-13983,15.34981333
mvc-8288,161.8533333
mvc-4137,92.45333333
mvc-4138,24.16666667
mvc-4425,12.82133333
mvc-14541,18.11066667
mvc-2609,11.32666667
mvc-13161,15.49933333
mvc-884,15.898
mvc-887,27.916
mvc-13160,174.2713333
mvc-13163,29.362
mvc-13165,194.1466667
mvc-2600,154.8786667
mvc-10066,19.99066667
mvc-11458,90.5388
mvc-4606,26.95533333
mvc-4609,26.76
mvc-4604,40.83333333
mvc-4602,35.11333333
mvc-15544,9.881333333
mvc-10856,47.28
mvc-3809,17.36866667
mvc-2461,13.07866667
mvc-572,28.62933333
mvc-4608,27.702
mvc-4601,28.25
mvc-9868,18.47066667
mvc-3803,21.03066667
mvc-5951,33.15324
mvc-3807,42.52666667
mvc-8355,17.47933333
mvc-8356,12.55
mvc-8350,8.727333333
mvc-11645,16.05266667
mvc-3734,17.57066667
mvc-8351,16.574
mvc-5956,295.4733333
mvc-3737,22.86057333
mvc-3738,19.86124
mvc-3736,22.65857333
mvc-3739,36.57324
mvc-8357,29.38
mvc-5957,20.08
mvc-9403,17.614
mvc-3735,17.49590667
mvc-3732,20.06857333
mvc-12903,15.236
mvc-3733,22.79190667
mvc-12905,676.7713333
mvc-12906,298.5053333
mvc-9401,199.5553333
mvc-626,52.85333333
mvc-627,40.04
mvc-621,129.0733333
mvc-3731,22.16448
mvc-90,163.2568
mvc-625,60.002
mvc-11666,21.93066667
mvc-11663,17.73866667
mvc-11667,19.33866667
mvc-15103,14.546
mvc-15106,34.63866667
mvc-15109,28.86666667
mvc-7248,24.60533333
mvc-15102,41.07933333
mvc-12155,166.66
mvc-12157,18.66466667
mvc-9861,23.70466667
mvc-439,38.61133333
mvc-438,205.5866667
mvc-435,19.00866667
mvc-9866,16.896
mvc-15814,29.42666667
mvc-13997,14.50666667
mvc-13994,21.07266667
mvc-8724,18.43733333
mvc-8728,44.95066667
mvc-9760,42.534
mvc-13996,14.10266667
mvc-8720,43.2
mvc-9221,53.71333333
mvc-9220,17.19133333
mvc-14411,13.21866667
mvc-14413,11.726
mvc-4142,13.46733333
mvc-4146,21.69933333
mvc-9098,37.71533333
mvc-4143,32.73066667
mvc-8284,13.27
mvc-4141,105.6
mvc-8426,16.174
mvc-4147,18.732
mvc-9090,211.8568
mvc-5548,11.38
mvc-5546,10.02124
mvc-12763,15.01524
mvc-620,28.64
mvc-12902,4005.989333
mvc-12162,19.32533333
mvc-622,28.64
mvc-10225,68.33733333
mvc-6603,9.578666667
mvc-1657,14.61533333
mvc-6971,11.15924
mvc-15448,15.68666667
mvc-6606,27.96666667
mvc-6602,682.9746667
mvc-1659,12.93866667
mvc-93,14.00466667
mvc-7559,32.86666667
mvc-5770,16.64933333
mvc-5774,16.69866667
mvc-5777,20.46533333
