Comp,Epsilon,sTot,pTot,dTot,fTot,NAtom,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
BaF2,7.32,2.0,3.3333333333333335,0.0,0.0,3,58.441268775333334,55.78063548782118,8.884632589630488,2.9499999999999997,3.09,1.456639969244288,91.8,124.59221484506968,264.3,1.1311433999999998,3.0,4.694961429098983,0.005646733457990862,0.003108879375031179,0.008302940888986931,0.0010081085417958482,0,-4.180652950793333,6.6189,Cubic,4.442808965610873,4.442808965214954,4.44280897,60.00000003882889,60.00000004177678,59.99999998191566,
Ba(NO3)2,4.95,2.0,3.3333333333333335,0.0,0.0,36,29.037222222222226,38.29485396753801,1.9044315197724277,3.067777777777778,2.55,0.7870871443744372,34.96,82.39771517867875,262.76,1.4146174,9.0,3.0410123818796246,0.012279147219321758,0.003492436316732564,0.014620700688540506,0.0021774307442857513,0,-1.686542395806667,3.6154,Cubic,8.29526906,8.29526906,8.29526906,90.0,90.0,90.0,
BaO,34.0,2.0,2.0,0.0,0.0,2,76.663,60.664,14.329563629130089,2.165,2.55,1.275,136.62,131.38,262.76,1.1215673,2.0,5.753125019830117,0.0026797418984998694,0.0019291991201727916,0.005330088059862689,0.0007937990017394957,0,-2.8335546056250003,2.0906000000000002,Cubic,3.970321983564793,3.970321977921523,3.97032198,59.99999998268265,60.00000002970097,60.00000002088572,
BaO2,10.7,2.0,2.6666666666666665,0.0,0.0,3,56.44166666666666,57.19456769853429,7.559167367961109,2.59,2.55,1.2020815280171306,92.82666666666667,123.86625188305149,262.76,1.1490297999999999,3.0,5.391924329637856,0.005103078704030155,0.0026249886167867215,0.0073386113157886835,0.0010929242202383602,0,-2.1677605541666662,2.2283999999999997,Tetragonal,3.8659348861023233,3.865934886482764,4.432479777527571,115.85477790394144,115.85477800267007,89.99999997039616,
BaS,19.23,2.0,2.0,0.0,0.0,2,84.6935,52.6335,25.991980612443694,1.735,1.69,0.845,146.465,121.535,243.07,1.2989431,2.0,4.178928788552803,0.0011301666824861376,0.00047914479955102194,0.001754169061349738,0.000589396216741697,0,-2.41063755703125,2.1515,Cubic,4.565944845439961,4.565944839181202,4.56594484,59.999999994067906,60.00000003941188,60.00000002275897,
BaSO4,11.4,2.0,3.3333333333333335,0.0,0.0,24,38.897166666666664,44.40811315670695,3.466336297762279,2.8716666666666666,2.55,0.9402201278896815,52.315000000000005,96.72485026265657,262.76,1.4087930999999998,6.0,4.2508326126243166,0.008359665454704233,0.0031928144339217206,0.010837160848830083,0.0016139559734991093,0,-2.833723849010417,5.950699999999999,Orthorhombic,5.55696133,7.27706852,9.01825908,90.0,90.0,90.0,
BaSnO3,18.0,2.0,2.8,2.0,0.0,5,60.80680000000001,55.19300390592996,4.920836077933433,2.634,2.55,1.043524796063802,65.224,102.40437678146378,262.76,1.6016450999999998,5.0,6.869983567645676,0.006200072674628934,0.002999275788205846,0.009095601356049777,0.0013545891166456105,0,-2.6015545747499997,0.36660000000000004,Cubic,4.18863396,4.18863396,4.18863396,90.0,90.0,90.0,
BaWO4,35.5,2.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,12,64.19383333333336,69.46777802793817,3.8060870534189175,2.7249999999999996,2.55,1.0378463277383603,60.660000000000004,96.16047074205353,262.76,1.4842768999999998,6.0,6.023399912301794,0.0077803546296351354,0.003210293162067995,0.010342166092603494,0.0015402374272113256,0,-2.731492456666666,4.8822,Tetragonal,5.743541786645868,5.743316125563523,7.611493631762359,112.1610764930031,112.16408563005602,89.99925418915474,
Be3Al2(SiO3)6,6.86,2.0,2.9655172413793105,0.0,0.0,58,18.53419401034483,6.096122169214823,0.5728312010884188,2.801724137931034,1.8699999999999999,0.8221840928410186,18.045172413793104,16.506390114905376,40.76,2.8806255999999997,29.0,2.5668692252355165,0.020676837916917823,0.0066820711644385205,0.026658612025121504,0.008289886225636409,0,-3.2850830587068978,5.3196,Hexagonal,9.30347139,9.30347139499266,9.27757703,90.0,90.0,120.00000001780428,
BeO,7.35,2.0,2.0,0.0,0.0,4,12.50559155,3.4934084500000004,5.7648579373640265,2.505,1.8699999999999999,0.9349999999999999,21.475,16.235,32.47,0.1679553,2.0,2.96554887382921,0.005655011309832022,0.002103592234922616,0.008403429521709235,0.003294750260177297,0,-3.1216453856250004,7.4597999999999995,Hexagonal,2.71031869,2.7103186893257885,4.40295026,90.0,90.0,119.99999988617773,
BiOF3,40.0,2.0,4.4,2.0,2.8,20,56.394921897799996,76.30158251844696,4.440555459059204,3.4560000000000004,2.08,0.8056202579379443,13.268,18.375682191418093,46.3,0.5743204,5.0,4.7270829062786905,0.009425367327837837,0.0031363472222523635,0.011744459465249452,0.002720785046583379,0,-2.272334144964,1.7646000000000002,Monoclinic,4.167795927891018,14.8288524,6.44514491349943,90.0,95.91730021302816,90.0,
Bi2O3,18.2,2.0,3.6,4.0,5.6,20,93.19156000000001,94.54119196958753,5.074030228585581,2.824,1.54,0.7544428407772189,23.144,21.927832177395008,44.76,1.0649874999999998,5.0,9.060332704934508,0.00615730817595356,0.0027338876385880574,0.008957242699058478,0.0025452846369662407,0,-1.65986798825,2.1865999999999994,Monoclinic,5.933348699352986,7.597844337996909,8.27644683,90.0,90.0,113.71714087682989,
Ti3(BiO3)4,112.0,2.0,3.1578947368421053,2.4210526315789473,2.9473684210526314,38,61.65845263157895,76.91521804734687,1.2021237865573962,2.81578947368421,1.9,0.8244061070630669,31.889473684210532,39.88705494712001,109.10000000000001,3.2477068999999994,19.0,7.689444952916849,0.013670880268688162,0.005307307041120466,0.018402476485867125,0.005229236524598528,0,-2.567636172631579,2.424899999999999,Orthorhombic,5.47042459,5.535926419934773,16.93558584075376,99.40666077183052,90.0,90.0,
C,6.4,2.0,2.0,0.0,0.0,16,12.011,0.0,12.011,2.55,0.0,0.0,20.53,0.0,0.0,0.0753571,1.0,1.8843497649090546,0.0035803387308206013,0.0,0.0035803387308206013,0.0035803387308206013,0,0.0,2.0774999999999997,Orthorhombic,4.27452407,4.93472515,8.02832801,90.0,90.0,90.0,
CaB3H5O8,22.5,1.7058823529411764,2.0588235294117645,0.0,0.0,68,12.090588235294117,9.469887899571454,0.1735261293641708,2.684705882352941,2.44,0.7601711699429653,17.35561983049118,38.36816650154392,164.49289257633,1.5131143999999999,17.0,2.372988959721123,0.03728207045513541,0.009946031861414196,0.04843601745212404,0.0086166080079067,0.009938921764706343,-2.3284356243,5.5945,Monoclinic,6.14122303101046,8.8213348408987,11.31061224,90.0,90.0,110.1224541787841,
CaCO3,8.67,2.0,2.8,0.0,0.0,10,20.017199999999995,10.148622850416702,3.381576266926444,2.774,2.44,0.9516217736054593,41.050000000000004,64.24848823124168,163.76,0.9222818999999998,5.0,2.6137902377700444,0.008317874268307929,0.003125769808696333,0.010972138307863396,0.0019519072743923475,0,-2.7038086105000003,4.999499999999999,Trigonal,6.449838639608818,6.449838635102097,6.44983863865289,46.11682223563118,46.11682232394331,46.116822234898606,
CaF2,6.81,2.0,3.3333333333333335,0.0,0.0,3,26.024935442,9.937017245414134,7.679114367871473,2.986666666666667,2.98,1.4047854719572743,58.79999999999999,77.92316728675755,165.3,0.8015759,3.0,3.0898328088643474,0.006194273870294194,0.003212557290825853,0.008930918262975086,0.0012952786529800498,0,-4.2457985207933335,7.1148,Cubic,3.90043757120508,3.900437572334035,3.90043757,59.999999934984714,59.99999992541,59.99999995984804,
CaMoO4,24.0,1.8333333333333333,2.6666666666666665,0.8333333333333334,0.0,12,33.33733333333333,29.34920165107657,3.503988485207424,2.82,2.44,0.9385804884682684,43.74333333333334,61.1639942195479,163.76,1.1429491999999997,6.0,4.06527624135884,0.00826563637317675,0.0031582928857831582,0.01077877810856943,0.0019175091316611936,0,-2.712723470833332,3.5057,Tetragonal,5.308562801940105,5.308418498718889,6.906667073455443,112.59137246726175,112.59269941217208,90.00025680199147,
Ca(NO3)2,6.54,2.0,3.3333333333333335,0.0,0.0,36,18.23177777777778,7.766499995032481,1.8424331499445517,3.08,2.44,0.7533038342306951,23.96,51.28843404381407,163.76,1.0850498999999998,9.0,2.2781124188852675,0.01256398814236458,0.003381914698814337,0.014864660590812833,0.002644374170692604,0,-1.620290187473333,3.6222,Cubic,7.82114007,7.82114007,7.82114007,90.0,90.0,90.0,
CsPbCl3,14.37,1.8,3.4,2.0,2.8,10,89.29109039199999,70.00187503735923,10.311762233699039,2.414,2.37,0.9678760251189199,104.578,148.45951251435525,376.07,2.7131557000000006,5.0,3.934998960737311,0.0029235739155383453,0.0011916855770005299,0.004035435069942411,0.0007330284677610746,0,-1.884677628956,2.413,Orthorhombic,5.76365402,11.438594021722665,8.085590766526833,44.98074626864227,90.0,90.0,
CuBr,8.0,1.5,2.5,10.0,0.0,2,71.725,8.178999999999998,35.39616301150226,2.4299999999999997,1.06,0.53,34.15,12.35,24.7,0.35020799999999996,2.0,5.1476633983342115,0.0015498499525811581,0.0002228730828240963,0.0018257223906278787,0.001279893223727342,0,-0.25428130999999965,0.4859,Cubic,4.029812340931832,4.0298123422343,4.02981235,60.00000001834081,60.00000000764918,60.00000001579109,
CuCl,8.3,1.5,2.5,5.0,0.0,2,49.498000000000005,14.047999999999998,22.75552244535133,2.5300000000000002,1.2600000000000002,0.6300000000000001,35.715,10.785,21.57,0.3009825,2.0,4.165254486125662,0.0021361994398528318,0.0004582297208237822,0.002716523108260479,0.001596277629904734,0,-0.66933074663,0.5611999999999999,Cubic,3.821651738911404,3.821651740526939,3.82165174,60.000000004561116,59.99999999057725,60.000000007702035,
CuO,18.1,1.5,2.0,5.0,0.0,4,39.7725,23.7735,12.781098170846692,2.67,1.54,0.77,25.87,20.63,41.26,0.2371777,2.0,5.938198138787524,0.003707595889170176,0.0014567256073839817,0.005643737184506163,0.002129941854110957,0,-0.9536060581249997,0.0,Tetragonal,2.9380959470039936,2.9380959415734114,5.1552279157098795,89.7116736845003,89.71167362958192,88.60010360824448,
Cu2O,7.6,1.3333333333333333,1.3333333333333333,6.666666666666667,0.0,6,47.697,22.41387075005118,10.640882253202713,2.4133333333333336,1.54,0.7259629620181888,32.74666666666666,19.45015052783797,41.26,0.4468929,3.0,6.028165568943045,0.003266234617227363,0.001326738990305243,0.006185318221176999,0.002334334099831547,0,-0.6495685720833334,0.4996999999999998,Cubic,4.28781269,4.28781269,4.28781269,90.0,90.0,90.0,
FeO,14.2,2.0,2.0,3.0,0.0,4,35.922,19.923,12.436169408718891,2.635,1.6099999999999999,0.8049999999999999,34.585,29.345,58.69,0.22750009999999998,2.0,5.577374611926408,0.003760820745992056,0.0014780962670164776,0.00572146903789744,0.0021527653132307127,0,-1.6687814731250015,0.0,Tetragonal,4.16678461,3.2042065855994997,4.53143338,45.00000000000003,90.0,90.0,
Fe2O3,4.5,2.0,2.4,2.4,0.0,40,31.937399999999997,19.5204736581877,4.477776382853964,2.796,1.6099999999999999,0.7887356971761833,28.716,28.752110600788942,58.69,0.48246269999999997,5.0,4.936945918342459,0.007065513594258749,0.0024579220227954036,0.009534977358209563,0.003587639535096915,0,-1.8856858157500007,2.019,Monoclinic,8.235853730420567,8.232416751361052,8.223949961228788,71.06873739784542,109.56382666172006,70.17116454167855,
Fe3O4,20.0,2.0,2.2857142857142856,2.5714285714285716,0.0,14,33.07585714285714,19.71865613668271,3.2923355884986565,2.75,1.6099999999999999,0.7967433714816834,30.392857142857146,29.044017684633545,58.69,0.7099627999999998,7.0,4.949993150932058,0.007974625757759406,0.0028921665696860373,0.011119847174003251,0.00418396414033865,0,-1.8357568064285732,0.0,Cubic,6.020903417537993,6.0209024578754065,6.047049887848242,120.14375730239904,90.00000343418746,60.287513097154985,
Ge,16.2,2.0,2.0,10.0,0.0,2,72.63,0.0,72.63,2.01,0.0,0.0,39.43,0.0,0.0,0.2571353,1.0,5.041967968787335,0.0008586268035854227,0.0,0.0008586268035854227,0.0008586268035854227,0,0.0,0.0,Cubic,4.074959238938141,4.0749592352268955,4.07495924,59.99999996125286,59.999999991380044,59.999999917258,
HIO3,7.5,1.8,3.4,2.0,0.0,20,35.181894,46.22734309009057,0.842137066065711,3.036,1.2399999999999998,0.5157363667611583,10.965421484734001,11.82069774285064,30.09289257633,0.3616882,5.0,4.335262607354158,0.018230713113989286,0.004260183004010419,0.02198667087313995,0.009520516231737747,0.01658539949999671,-0.9407373224739999,3.213,Orthorhombic,5.71643709,5.89039595,8.00415994,90.0,90.0,90.0,
CaNb2O6,16.0,1.7777777777777777,2.6666666666666665,0.8888888888888888,0.0,36,35.764971111111116,31.434310405362776,2.372468923160896,2.76,2.44,0.9754315284358337,45.82666666666667,59.9045492614895,163.76,1.5517395,9.0,4.493018409321704,0.010002330157120324,0.0038369196326606242,0.013099375773286907,0.0023303358146290628,0,-3.2535297577777786,3.6052,Orthorhombic,5.27429004,5.94337408,15.18019783,90.0,90.0,90.0,
Ca2Nb2O7,33.0,1.8181818181818181,2.5454545454545454,0.7272727272727273,0.0,44,34.360158181818186,29.046405152443036,1.964802201562026,2.661818181818182,2.44,1.0452126202297805,53.33454545454546,66.39817362817313,163.76,2.3437392999999997,11.0,4.3072708896413365,0.010483779166450009,0.004479442809280333,0.014394329794465666,0.002560703870792825,0,-3.313694252840909,3.1000999999999994,Monoclinic,5.54829266,7.771140346479079,13.6603300079645,98.27688619060878,90.0,90.0,
CaO,3.385,2.0,2.0,0.0,0.0,2,28.038500000000003,12.039500000000002,11.434419137971004,2.2199999999999998,2.44,1.22,87.12,81.88,163.76,0.7919997999999999,2.0,3.286686128754675,0.0031355673974402492,0.0020729380103533964,0.00596683203903596,0.0010614797713336132,0,-3.323272565625,3.6344000000000003,Cubic,3.4218783390476104,3.421878344008797,3.42187834,60.000000038753555,59.99999999079313,60.00000004182251,
CaS,4.15,2.0,2.0,0.0,0.0,2,36.069,4.009,17.81170367905958,1.79,1.58,0.79,96.965,72.035,144.07,0.9693756,2.0,2.5654979378670224,0.0014510753229540067,0.0005200707448048571,0.0021190363343338947,0.0008504837993745425,0,-2.4878464170312506,2.3779999999999997,Cubic,4.041992735884414,4.0419927385905305,4.04199273,59.99999998846488,59.99999996631797,59.99999995244177,
CaWO4,11.3,2.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,12,47.985666666666674,61.388813388289414,3.5662513491543466,2.7433333333333336,2.44,1.0057446108342925,44.160000000000004,61.3666532681499,163.76,1.1547093999999998,6.0,5.832173292802423,0.008119713703473398,0.0032029337066997567,0.010684270931756302,0.001900696616112458,0,-2.7324166633333333,4.3443,Tetragonal,5.331584961622215,5.334337241294953,6.889212670626052,112.79308883404049,112.77796954464601,89.96857738897329,
CdBr2,7.48,2.0,3.3333333333333335,10.0,0.0,6,90.74066666666666,15.325360970916442,29.476156937899532,2.5366666666666666,1.27,0.5986837414046102,31.083333333333332,13.128615904030232,27.849999999999998,0.646212,3.0,4.4125632506009795,0.0017269283708347385,0.00033864910703707425,0.0020006789600998678,0.0010994416963449611,0,-0.8904674266666666,2.9379999999999997,Hexagonal,4.07383828,4.073838278796655,14.25503686,90.0,90.0,120.00000000977121,
CdF2,9.02,2.0,3.3333333333333335,3.3333333333333335,0.0,3,50.136935442,44.0365346613542,8.759045228328933,3.216666666666667,2.29,1.0795163526114626,19.01666666666667,21.661037730347903,45.949999999999996,0.40226500000000004,3.0,6.02913655351612,0.006156018809685631,0.002607152486092821,0.00836225290563462,0.00201687623740921,0,-2.50276683746,2.8977000000000004,Cubic,3.883826058406491,3.8838260607145565,3.88382606,60.000000006086104,59.9999999864276,60.00000001061024,
CdS,7.76,2.0,2.0,5.0,0.0,4,72.237,40.177,24.945615404847935,2.135,0.8900000000000001,0.44500000000000006,37.29,12.36,24.72,0.5700647,2.0,4.575652707635417,0.0014860155341560354,0.00024328916219982106,0.0017905812108915725,0.0011951172706660804,0,-0.9725795520312497,1.1162,Hexagonal,4.20653514,4.206535145930602,6.84292902,90.0,90.0,119.9999999533624,
CdSe,6.2,2.0,2.0,10.0,0.0,2,95.6925,16.7215,46.38527572171278,2.12,0.8599999999999999,0.42999999999999994,37.945,11.705,23.41,0.6396264,2.0,5.300486624693738,0.0010296746729592035,0.00012566301975958013,0.001184232526771887,0.0008764306608409185,0,-0.627580719296875,0.5101,Cubic,4.39313767722644,4.393137675393166,4.39313767,59.99999996531116,59.99999997911547,59.99999997227267,
CeO2,4.7,2.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,3,57.37133333333333,58.50931490702049,7.567458787230237,2.6666666666666665,2.32,1.0936584882351934,70.16000000000001,91.81074446926134,194.76,0.6478990999999998,3.0,6.9947584160852765,0.005307479251771966,0.0023956220344432356,0.00733458987468937,0.001502935720139385,0,-3.945348217499999,1.8647,Cubic,3.866071229214599,3.8660712259786774,3.86607123,60.000000051156086,60.00000007884399,60.00000007427527,
Nb2CoO6,18.4,1.7777777777777777,2.6666666666666665,1.6666666666666667,0.0,36,37.85999266666667,32.26918917776755,2.418269421320787,2.857777777777778,1.8399999999999999,0.8269055807685498,33.46111111111111,42.019011687685804,100.76,0.9825146999999999,9.0,5.312053976129024,0.01025624785334422,0.0033809475719808364,0.01297473584271369,0.0039394881236685,0,-2.7002506774999997,2.3241,Orthorhombic,5.09799879,5.83211382,14.33002582,90.0,90.0,90.0,
CoO,5.3,2.0,2.0,3.5,0.0,4,37.466097,21.467097,12.583004987228854,2.66,1.56,0.78,31.475,26.235,52.47,0.222775,2.0,5.1361339511716935,0.003765595466777232,0.001449923753353768,0.005687988143490579,0.0021865616633875732,0,-1.330034740625,0.5880000000000001,Cubic,3.2619082487158386,3.261908146642729,5.585305586062272,90.00000331825537,73.02179187221702,60.00000068923738,
Cr2O3,5.73,1.6,2.4,2.0,0.0,10,30.397839999999995,17.634905443988067,4.425245903025912,2.7279999999999998,1.78,0.8720183484308114,34.504000000000005,35.840933916403465,73.16000000000001,0.5217875,5.0,4.892943122435522,0.0069831630291638655,0.0025922151790682088,0.009591403517614252,0.003331401596605013,0,-2.3488027157499998,2.4365,Trigonal,5.453309718449264,5.453309716554892,5.453309715155595,55.67345218464847,55.67345214950331,55.673452174419324,
CsAlH24(SO10)2,5.0,1.4791666666666667,1.8541666666666667,0.0,0.0,192,11.83706230125,19.82513410430815,0.039735249601487464,2.6908333333333334,2.65,0.6741192814002248,14.788137045168334,56.770669207178656,396.49289257633,4.3380572,48.0,1.4117112465326418,0.07754898350007415,0.01764975029396438,0.10121919851199104,0.011808624525830674,0.7885623447395762,-0.8743534044792707,0.42810000000000015,Cubic,13.87885595,13.87885595,13.87885595,90.0,90.0,90.0,
CsBr,3.36,1.5,2.5,5.0,0.0,2,106.40472598,26.50072598,49.902281762409366,1.875,2.17,1.085,211.4,189.6,379.2,2.0439091,2.0,3.485262274052874,0.0008647153360580685,0.0005017661455772216,0.0015376327944890955,0.00033321694965669573,0,-1.8097424749999997,4.2579,Cubic,5.234073673585002,5.234074226286061,5.23407327,59.99999926802566,59.99999580514229,60.00000449139141,
Cs2CO3,6.53,1.6666666666666667,2.3333333333333335,0.0,0.0,24,54.30315065333335,55.59810161644016,3.4987418898614524,2.408333333333333,2.65,1.1868082780672238,139.70833333333334,184.84017568489327,395.76,3.9645772,6.0,4.13806747603088,0.006369657731504141,0.0038729502400777194,0.010786856827133803,0.0012584365807878463,0,-2.085801930416667,3.6172000000000004,Monoclinic,6.194108786697522,10.503088100283344,8.108661762760526,89.99993096723604,97.5246383245433,89.99917018221775,
CsI,3.68,1.5,2.5,5.0,0.0,2,129.90496098,3.000490979999995,64.9178284410977,1.725,1.87,0.935,217.8,183.20000000000002,366.4,2.1334131,2.0,3.5549500966600682,0.0006514233984040427,0.0003275814843756391,0.001084351032540869,0.00029214959898447043,0,-1.5683344499999998,3.8571999999999997,Cubic,5.557277545577925,5.557277566921295,5.55727772,59.99999908879792,59.999998961751366,60.000003209333975,
CsNO3,13.0,1.8,3.0,0.0,0.0,10,38.981890392,46.96811752672734,3.7533488276129194,2.8299999999999996,2.65,1.0316976301223144,84.864,158.07064263803065,395.76,2.0636726,5.0,3.471116381824277,0.007743173012271779,0.003291298300320907,0.010414571418024455,0.0012150043201372468,0.0042585357777786825,-1.5074851492260002,3.0696,Orthorhombic,5.7236688,5.21069754,6.25279838,90.0,90.0,90.0,
HgCl2,6.5,2.0,3.3333333333333335,3.3333333333333335,4.666666666666667,12,90.49733333333334,77.84868537247256,16.285920015390463,2.74,1.2600000000000002,0.5939696961967,27.923333333333332,4.233212596703463,8.979999999999997,0.5695239,3.0,4.602845139816907,0.0026816653280900904,0.0006439753887555412,0.003211076560782925,0.0015383529952998447,0,-0.9932481921733335,2.8686,Orthorhombic,4.36733969,6.60372221,13.58439665,90.0,90.0,90.0,
HgSe,7.5,2.0,2.0,10.0,7.0,2,139.7815,60.810500000000005,56.66325955866835,2.2249999999999996,0.6499999999999999,0.32499999999999996,30.074999999999996,3.834999999999999,7.669999999999998,0.6613893,2.0,7.517549409192663,0.0009465856881604465,0.00010075035821599454,0.0010714607829357327,0.0008247292039796876,0,-0.2098030342968753,0.0,Cubic,4.436587866164682,4.436587869931415,4.43658787,60.00000007404982,60.00000004596461,60.00000005872829,
KBrO3,6.59,1.8,3.4,2.0,0.0,5,33.39986,24.91375941840974,4.432559332509475,2.82,2.62,1.0171332262786426,65.62400000000001,112.67069354539362,285.36,1.5206677999999998,5.0,3.0090500571660272,0.006974207493222703,0.0029509761795773943,0.009583487660657726,0.0012941862676043166,0,-1.0634005367500001,3.8455000000000004,Trigonal,4.5417462334945995,4.5417462300506495,4.541746235972076,83.81650206435097,83.81650211838252,83.81650211222411,
KCN,6.15,1.6666666666666667,1.6666666666666667,0.0,0.0,3,21.705433333333335,12.32557942284617,5.548575170894662,2.1366666666666667,2.22,0.9522721366406887,106.24333333333334,130.4666793561568,283.0,1.4510134,3.0,1.6118169456705744,0.0037566112519624704,0.0017834597586787512,0.005689095571319835,0.001156733541848334,0.16821418854166836,-0.35645439704333387,5.2873,Orthorhombic,5.7805674196447345,4.471684561531442,4.471684667990621,72.39671591485865,50.19756586585843,50.19756496221835,
K2CO3,4.96,1.6666666666666667,2.3333333333333335,0.0,0.0,24,23.0341,11.446277946127292,3.1063439479090826,2.418333333333333,2.62,1.1731782567974154,102.90833333333335,132.8280989872081,285.36,2.7533195999999998,6.0,2.2889258362756384,0.0069108442930541,0.003970769952735337,0.011447907095763859,0.0015459637118300188,0,-2.1328492495833338,3.6392,Monoclinic,5.731759236288926,7.147308394100012,9.87039588,90.0,90.0,97.32860825786382,
